pollster,numeric_grade,candidate_name,party,pct,sample_size,population,methodology,recent_poll
Siena/NYT,3,Chase Oliver,LIB,1,1532,Voters,Live Phone,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,40,1176,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,44,1176,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,43,1176,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,45,1176,Voters,Online Panel,Older
YouGov,3,Kamala Harris,DEM,45,1176,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,47,1176,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,10679,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,10679,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Joe Biden,DEM,48,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Donald Trump,REP,52,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Joe Biden,DEM,39,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Donald Trump,REP,46,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Robert F. Kennedy,IND,15,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Joe Biden,DEM,35,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Donald Trump,REP,43,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Robert F. Kennedy,IND,10,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Cornel West,IND,2,2090,Voters,Online Panel,Older
HarrisX/Harris Poll,1.5,Jill Stein,GRE,1,2090,Voters,Online Panel,Older
Suffolk,2.9,Joe Biden,DEM,37.5,1000,Voters,Live Phone,Older
Suffolk,2.9,Donald Trump,REP,41.4,1000,Voters,Live Phone,Older
Suffolk,2.9,Jill Stein,GRE,1,1000,Voters,Live Phone,Older
Suffolk,2.9,Robert F. Kennedy,IND,8.2,1000,Voters,Live Phone,Older
Suffolk,2.9,Cornel West,IND,1.3,1000,Voters,Live Phone,Older
Suffolk,2.9,Chase Oliver,LIB,1.4,1000,Voters,Live Phone,Older
CNN/SSRS,2.8,Joe Biden,DEM,43,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Donald Trump,REP,49,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Joe Biden,DEM,35,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Donald Trump,REP,41,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Robert F. Kennedy,IND,14,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Cornel West,IND,2,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Jill Stein,GRE,3,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Chase Oliver,LIB,1,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Kamala Harris,DEM,45,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Donald Trump,REP,47,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Gavin Newsom,DEM,43,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Donald Trump,REP,48,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Pete Buttigieg,DEM,43,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Donald Trump,REP,47,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Gretchen Whitmer,DEM,42,1274,Voters,Probability Panel,Older
CNN/SSRS,2.8,Donald Trump,REP,47,1274,Voters,Probability Panel,Older
HarrisX,1.5,Joe Biden,DEM,48,1500,Voters,Online Panel,Older
HarrisX,1.5,Donald Trump,REP,52,1500,Voters,Online Panel,Older
HarrisX,1.5,Joe Biden,DEM,38,1500,Voters,Online Panel,Older
HarrisX,1.5,Donald Trump,REP,43,1500,Voters,Online Panel,Older
HarrisX,1.5,Robert F. Kennedy,IND,19,1500,Voters,Online Panel,Older
HarrisX,1.5,Joe Biden,DEM,37,1500,Voters,Online Panel,Older
HarrisX,1.5,Donald Trump,REP,42,1500,Voters,Online Panel,Older
HarrisX,1.5,Robert F. Kennedy,IND,16,1500,Voters,Online Panel,Older
HarrisX,1.5,Cornel West,IND,2,1500,Voters,Online Panel,Older
HarrisX,1.5,Jill Stein,GRE,3,1500,Voters,Online Panel,Older
HarrisX,1.5,Kamala Harris,DEM,47,1500,Voters,Online Panel,Older
HarrisX,1.5,Donald Trump,REP,53,1500,Voters,Online Panel,Older
HarrisX,1.5,Kamala Harris,DEM,40,1500,Voters,Online Panel,Older
HarrisX,1.5,Donald Trump,REP,43,1500,Voters,Online Panel,Older
HarrisX,1.5,Robert F. Kennedy,IND,17,1500,Voters,Online Panel,Older
HarrisX,1.5,Kamala Harris,DEM,38,1500,Voters,Online Panel,Older
HarrisX,1.5,Donald Trump,REP,43,1500,Voters,Online Panel,Older
HarrisX,1.5,Robert F. Kennedy,IND,16,1500,Voters,Online Panel,Older
HarrisX,1.5,Cornel West,IND,2,1500,Voters,Online Panel,Older
HarrisX,1.5,Jill Stein,GRE,2,1500,Voters,Online Panel,Older
Big Village,1.2,Joe Biden,DEM,34.9,1007,Adults,Online Panel,Older
Big Village,1.2,Donald Trump,REP,37.3,1007,Adults,Online Panel,Older
Big Village,1.2,Robert F. Kennedy,IND,9,1007,Adults,Online Panel,Older
Big Village,1.2,Cornel West,IND,1.7,1007,Adults,Online Panel,Older
Big Village,1.2,Joe Biden,DEM,38.4,820,Voters,Online Panel,Older
Big Village,1.2,Donald Trump,REP,39.3,820,Voters,Online Panel,Older
Big Village,1.2,Robert F. Kennedy,IND,9.3,820,Voters,Online Panel,Older
Big Village,1.2,Cornel West,IND,1.3,820,Voters,Online Panel,Older
Big Village,1.2,Joe Biden,DEM,41.2,723,Voters,Online Panel,Older
Big Village,1.2,Donald Trump,REP,41.6,723,Voters,Online Panel,Older
Big Village,1.2,Robert F. Kennedy,IND,8.7,723,Voters,Online Panel,Older
Big Village,1.2,Cornel West,IND,0.9,723,Voters,Online Panel,Older
Patriot Polling,1.1,Joe Biden,DEM,40.5,1029,Voters,IVR/Text-to-Web,Older
Patriot Polling,1.1,Donald Trump,REP,44.3,1029,Voters,IVR/Text-to-Web,Older
Patriot Polling,1.1,Robert F. Kennedy,IND,11.2,1029,Voters,IVR/Text-to-Web,Older
Morning Consult,1.9,Joe Biden,DEM,42,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
SurveyUSA,2.8,Joe Biden,DEM,43,2315,Voters,Online Panel,Older
SurveyUSA,2.8,Donald Trump,REP,45,2315,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,45,2086,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,2086,Voters,Online Panel,Older
Data for Progress,2.6,Joe Biden,DEM,45,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,48,1011,Voters,Online Panel,Older
Data for Progress,2.6,Kamala Harris,DEM,45,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,48,1011,Voters,Online Panel,Older
Data for Progress,2.6,Gretchen Whitmer,DEM,44,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,46,1011,Voters,Online Panel,Older
Data for Progress,2.6,Gavin Newsom,DEM,44,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,47,1011,Voters,Online Panel,Older
Data for Progress,2.6,J.B. Pritzker,DEM,43,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,46,1011,Voters,Online Panel,Older
Data for Progress,2.6,Pete Buttigieg,DEM,44,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,47,1011,Voters,Online Panel,Older
Data for Progress,2.6,Josh Shapiro,DEM,43,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,46,1011,Voters,Online Panel,Older
Data for Progress,2.6,Amy Klobuchar,DEM,43,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,46,1011,Voters,Online Panel,Older
Data for Progress,2.6,Cory A. Booker,DEM,44,1011,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,46,1011,Voters,Online Panel,Older
Leger,2,Joe Biden,DEM,38,841,Voters,Online Panel,Older
Leger,2,Donald Trump,REP,45,841,Voters,Online Panel,Older
AtlasIntel,2.7,Joe Biden,DEM,40.3,1634,Voters,Online Ad,Older
AtlasIntel,2.7,Donald Trump,REP,45.5,1634,Voters,Online Ad,Older
AtlasIntel,2.7,Robert F. Kennedy,IND,10.3,1634,Voters,Online Ad,Older
AtlasIntel,2.7,Cornel West,IND,0.7,1634,Voters,Online Ad,Older
AtlasIntel,2.7,Jill Stein,GRE,0.5,1634,Voters,Online Ad,Older
TIPP,1.8,Joe Biden,DEM,43,1244,Voters,Online Panel,Older
TIPP,1.8,Donald Trump,REP,41,1244,Voters,Online Panel,Older
TIPP,1.8,Joe Biden,DEM,40,1244,Voters,Online Panel,Older
TIPP,1.8,Donald Trump,REP,39,1244,Voters,Online Panel,Older
TIPP,1.8,Robert F. Kennedy,IND,10,1244,Voters,Online Panel,Older
TIPP,1.8,Cornel West,IND,2,1244,Voters,Online Panel,Older
TIPP,1.8,Jill Stein,GRE,1,1244,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,43,4000,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,42,1406,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,42,1406,Voters,Online Panel,Older
YouGov,3,Robert F. Kennedy,IND,4,1406,Voters,Online Panel,Older
YouGov,3,Cornel West,IND,0,1406,Voters,Online Panel,Older
YouGov,3,Jill Stein,GRE,1,1406,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Siena/NYT,3,Joe Biden,DEM,42,1226,Voters,Live Phone,Older
Siena/NYT,3,Donald Trump,REP,48,1226,Voters,Live Phone,Older
Siena/NYT,3,Joe Biden,DEM,44,1226,Voters,Live Phone,Older
Siena/NYT,3,Donald Trump,REP,48,1226,Voters,Live Phone,Older
Siena/NYT,3,Joe Biden,DEM,32,1226,Voters,Live Phone,Older
Siena/NYT,3,Donald Trump,REP,39,1226,Voters,Live Phone,Older
Siena/NYT,3,Robert F. Kennedy,IND,9,1226,Voters,Live Phone,Older
Siena/NYT,3,Jill Stein,GRE,2,1226,Voters,Live Phone,Older
Siena/NYT,3,Cornel West,IND,0,1226,Voters,Live Phone,Older
Siena/NYT,3,Chase Oliver,LIB,2,1226,Voters,Live Phone,Older
Siena/NYT,3,Joe Biden,DEM,37,1226,Voters,Live Phone,Older
Siena/NYT,3,Donald Trump,REP,40,1226,Voters,Live Phone,Older
Siena/NYT,3,Robert F. Kennedy,IND,7,1226,Voters,Live Phone,Older
Siena/NYT,3,Jill Stein,GRE,2,1226,Voters,Live Phone,Older
Siena/NYT,3,Cornel West,IND,0,1226,Voters,Live Phone,Older
Siena/NYT,3,Chase Oliver,LIB,1,1226,Voters,Live Phone,Older
Leger,2,Joe Biden,DEM,43,878,Voters,Online Panel,Older
Leger,2,Donald Trump,REP,41,878,Voters,Online Panel,Older
Leger,2,Joe Biden,DEM,38,878,Voters,Online Panel,Older
Leger,2,Donald Trump,REP,38,878,Voters,Online Panel,Older
Leger,2,Robert F. Kennedy,IND,7,878,Voters,Online Panel,Older
Leger,2,Jill Stein,GRE,2,878,Voters,Online Panel,Older
Leger,2,Cornel West,IND,2,878,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Quinnipiac,2.8,Joe Biden,DEM,45,1405,Voters,Live Phone,Older
Quinnipiac,2.8,Donald Trump,REP,49,1405,Voters,Live Phone,Older
Quinnipiac,2.8,Joe Biden,DEM,37,1405,Voters,Live Phone,Older
Quinnipiac,2.8,Donald Trump,REP,43,1405,Voters,Live Phone,Older
Quinnipiac,2.8,Robert F. Kennedy,IND,11,1405,Voters,Live Phone,Older
Quinnipiac,2.8,Cornel West,IND,2,1405,Voters,Live Phone,Older
Quinnipiac,2.8,Jill Stein,GRE,2,1405,Voters,Live Phone,Older
Quinnipiac,2.8,Chase Oliver,LIB,1,1405,Voters,Live Phone,Older
McLaughlin,0.5,Joe Biden,DEM,44.5,2000,Voters,Online Panel,Older
McLaughlin,0.5,Donald Trump,REP,45.7,2000,Voters,Online Panel,Older
McLaughlin,0.5,Joe Biden,DEM,45.6,1744,Voters,Online Panel,Older
McLaughlin,0.5,Donald Trump,REP,47.3,1744,Voters,Online Panel,Older
McLaughlin,0.5,Joe Biden,DEM,38.8,2000,Voters,Online Panel,Older
McLaughlin,0.5,Donald Trump,REP,40.3,2000,Voters,Online Panel,Older
McLaughlin,0.5,Robert F. Kennedy,IND,8.3,2000,Voters,Online Panel,Older
McLaughlin,0.5,Cornel West,IND,1.6,2000,Voters,Online Panel,Older
McLaughlin,0.5,Jill Stein,GRE,1,2000,Voters,Online Panel,Older
McLaughlin,0.5,Chase Oliver,LIB,0.5,2000,Voters,Online Panel,Older
McLaughlin,0.5,Joe Biden,DEM,40.4,1744,Voters,Online Panel,Older
McLaughlin,0.5,Donald Trump,REP,42.2,1744,Voters,Online Panel,Older
McLaughlin,0.5,Robert F. Kennedy,IND,7.7,1744,Voters,Online Panel,Older
McLaughlin,0.5,Cornel West,IND,1.3,1744,Voters,Online Panel,Older
McLaughlin,0.5,Jill Stein,GRE,0.9,1744,Voters,Online Panel,Older
McLaughlin,0.5,Chase Oliver,LIB,0.5,1744,Voters,Online Panel,Older
McLaughlin,0.5,Joe Biden,DEM,44,1000,Voters,NA,Older
McLaughlin,0.5,Donald Trump,REP,46,1000,Voters,NA,Older
McLaughlin,0.5,Kamala Harris,DEM,42,1000,Voters,NA,Older
McLaughlin,0.5,Donald Trump,REP,47,1000,Voters,NA,Older
McLaughlin,0.5,Joe Biden,DEM,37,1000,Voters,NA,Older
McLaughlin,0.5,Donald Trump,REP,39,1000,Voters,NA,Older
McLaughlin,0.5,Robert F. Kennedy,IND,10,1000,Voters,NA,Older
McLaughlin,0.5,Cornel West,IND,2,1000,Voters,NA,Older
McLaughlin,0.5,Jill Stein,GRE,2,1000,Voters,NA,Older
McLaughlin,0.5,Chase Oliver,LIB,1,1000,Voters,NA,Older
YouGov,3,Joe Biden,DEM,44.3,2750,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,41.9,2750,Voters,Online Panel,Older
YouGov,3,Robert F. Kennedy,IND,4.6,2750,Voters,Online Panel,Older
YouGov,3,Jill Stein,GRE,1,2750,Voters,Online Panel,Older
YouGov,3,Cornel West,IND,0.8,2750,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,10159,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,10159,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,49,1878,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,50,1878,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Clarity,1.6,Joe Biden,DEM,47,1002,Voters,Online Panel,Older
Clarity,1.6,Donald Trump,REP,46,1002,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,42,1396,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,42,1396,Voters,Online Panel,Older
YouGov,3,Robert F. Kennedy,IND,4,1396,Voters,Online Panel,Older
YouGov,3,Cornel West,IND,1,1396,Voters,Online Panel,Older
YouGov,3,Jill Stein,GRE,1,1396,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
YouGov Blue,3,Joe Biden,DEM,45,2015,Voters,Online Panel,Older
YouGov Blue,3,Donald Trump,REP,45,2015,Voters,Online Panel,Older
YouGov Blue,3,Jill Stein,GRE,1,2015,Voters,Online Panel,Older
YouGov Blue,3,Robert F. Kennedy,IND,4,2015,Voters,Online Panel,Older
YouGov Blue,3,Cornel West,IND,1,2015,Voters,Online Panel,Older
YouGov Blue,3,Chase Oliver,LIB,1,2015,Voters,Online Panel,Older
Redfield & Wilton Strategies,1.8,Joe Biden,DEM,41,1148,Voters,Online Panel,Older
Redfield & Wilton Strategies,1.8,Donald Trump,REP,41,1148,Voters,Online Panel,Older
Redfield & Wilton Strategies,1.8,Robert F. Kennedy,IND,7,1148,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,43,4000,Voters,Online Panel,Older
Beacon/Shaw,2.8,Joe Biden,DEM,43,1095,Voters,Live Phone/Text-to-Web,Older
Beacon/Shaw,2.8,Donald Trump,REP,42,1095,Voters,Live Phone/Text-to-Web,Older
Beacon/Shaw,2.8,Robert F. Kennedy,IND,10,1095,Voters,Live Phone/Text-to-Web,Older
Beacon/Shaw,2.8,Cornel West,IND,2,1095,Voters,Live Phone/Text-to-Web,Older
Beacon/Shaw,2.8,Jill Stein,GRE,2,1095,Voters,Live Phone/Text-to-Web,Older
Beacon/Shaw,2.8,Joe Biden,DEM,50,1095,Voters,Live Phone/Text-to-Web,Older
Beacon/Shaw,2.8,Donald Trump,REP,48,1095,Voters,Live Phone/Text-to-Web,Older
Innovative Research Group,2.1,Joe Biden,DEM,41,2000,Voters,Online Panel,Older
Innovative Research Group,2.1,Donald Trump,REP,42,2000,Voters,Online Panel,Older
Innovative Research Group,2.1,Robert F. Kennedy,IND,8,2000,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,10132,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,43,10132,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,43,4000,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,41,1011,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,39,1011,Voters,Online Panel,Older
YouGov,3,Robert F. Kennedy,IND,3,1011,Voters,Online Panel,Older
YouGov,3,Jill Stein,GRE,1,1011,Voters,Online Panel,Older
YouGov,3,Cornel West,IND,1,1011,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,43,4000,Voters,Online Panel,Older
Ipsos,2.8,Joe Biden,DEM,39,930,Voters,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,41,930,Voters,Probability Panel,Older
Ipsos,2.8,Joe Biden,DEM,34,1119,Adults,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,36,1119,Adults,Probability Panel,Older
Ipsos,2.8,Joe Biden,DEM,32,1119,Adults,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,33,1119,Adults,Probability Panel,Older
Ipsos,2.8,Robert F. Kennedy,IND,10,1119,Adults,Probability Panel,Older
Ipsos,2.8,Joe Biden,DEM,37,930,Voters,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,38,930,Voters,Probability Panel,Older
Ipsos,2.8,Robert F. Kennedy,IND,10,930,Voters,Probability Panel,Older
Redfield & Wilton Strategies,1.8,Joe Biden,DEM,41,1141,Voters,Online Panel,Older
Redfield & Wilton Strategies,1.8,Donald Trump,REP,40,1141,Voters,Online Panel,Older
Redfield & Wilton Strategies,1.8,Robert F. Kennedy,IND,7,1141,Voters,Online Panel,Older
Echelon Insights,2.7,Joe Biden,DEM,48,1013,Voters,Online Panel,Older
Echelon Insights,2.7,Donald Trump,REP,47,1013,Voters,Online Panel,Older
Echelon Insights,2.7,Joe Biden,DEM,42,1013,Voters,Online Panel,Older
Echelon Insights,2.7,Donald Trump,REP,43,1013,Voters,Online Panel,Older
Echelon Insights,2.7,Robert F. Kennedy,IND,7,1013,Voters,Online Panel,Older
Echelon Insights,2.7,Jill Stein,GRE,2,1013,Voters,Online Panel,Older
Echelon Insights,2.7,Cornel West,IND,2,1013,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Marist,2.9,Joe Biden,DEM,49,1184,Voters,Live Phone/Text/Online Panel,Older
Marist,2.9,Donald Trump,REP,49,1184,Voters,Live Phone/Text/Online Panel,Older
Marist,2.9,Joe Biden,DEM,41,1184,Voters,Live Phone/Text/Online Panel,Older
Marist,2.9,Donald Trump,REP,42,1184,Voters,Live Phone/Text/Online Panel,Older
Marist,2.9,Robert F. Kennedy,IND,11,1184,Voters,Live Phone/Text/Online Panel,Older
Marist,2.9,Cornel West,IND,3,1184,Voters,Live Phone/Text/Online Panel,Older
Marist,2.9,Jill Stein,GRE,1,1184,Voters,Live Phone/Text/Online Panel,Older
Marist,2.9,Chase Oliver,LIB,1,1184,Voters,Live Phone/Text/Online Panel,Older
YouGov,3,Joe Biden,DEM,40,1399,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,42,1399,Voters,Online Panel,Older
YouGov,3,Robert F. Kennedy,IND,3,1399,Voters,Online Panel,Older
YouGov,3,Cornel West,IND,1,1399,Voters,Online Panel,Older
YouGov,3,Jill Stein,GRE,1,1399,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Civiqs,2.4,Joe Biden,DEM,45,1140,Voters,Online Panel,Older
Civiqs,2.4,Donald Trump,REP,45,1140,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
SSRS,2.4,Joe Biden,DEM,30,1031,Adults,Probability Panel,Older
SSRS,2.4,Donald Trump,REP,33,1031,Adults,Probability Panel,Older
SSRS,2.4,Robert F. Kennedy,IND,10,1031,Adults,Probability Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,10260,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,43,10260,Voters,Online Panel,Older
Big Village,1.2,Joe Biden,DEM,33.7,2026,Adults,Online Panel,Older
Big Village,1.2,Donald Trump,REP,36.4,2026,Adults,Online Panel,Older
Big Village,1.2,Robert F. Kennedy,IND,9.7,2026,Adults,Online Panel,Older
Big Village,1.2,Cornel West,IND,1.5,2026,Adults,Online Panel,Older
Big Village,1.2,Joe Biden,DEM,38.7,1625,Voters,Online Panel,Older
Big Village,1.2,Donald Trump,REP,40.3,1625,Voters,Online Panel,Older
Big Village,1.2,Robert F. Kennedy,IND,8.3,1625,Voters,Online Panel,Older
Big Village,1.2,Cornel West,IND,1.5,1625,Voters,Online Panel,Older
Big Village,1.2,Joe Biden,DEM,42.5,1423,Voters,Online Panel,Older
Big Village,1.2,Donald Trump,REP,42.2,1423,Voters,Online Panel,Older
Big Village,1.2,Robert F. Kennedy,IND,7.4,1423,Voters,Online Panel,Older
Big Village,1.2,Cornel West,IND,1.4,1423,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,49,1359,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,50,1359,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Cygnal,2.1,Joe Biden,DEM,44.5,1500,Voters,NA,Older
Cygnal,2.1,Donald Trump,REP,46.5,1500,Voters,NA,Older
Cygnal,2.1,Joe Biden,DEM,38.4,1500,Voters,NA,Older
Cygnal,2.1,Donald Trump,REP,41.2,1500,Voters,NA,Older
Cygnal,2.1,Robert F. Kennedy,IND,8.4,1500,Voters,NA,Older
Cygnal,2.1,Jill Stein,GRE,1.8,1500,Voters,NA,Older
Cygnal,2.1,Cornel West,IND,2.3,1500,Voters,NA,Older
YouGov,3,Joe Biden,DEM,46,1239,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,44,1239,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,42,1239,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,43,1239,Voters,Online Panel,Older
RMG Research,2.3,Joe Biden,DEM,42,3000,Voters,NA,Older
RMG Research,2.3,Donald Trump,REP,43,3000,Voters,NA,Older
Emerson,2.9,Joe Biden,DEM,50.2,1000,Voters,IVR/Online Panel,Older
Emerson,2.9,Donald Trump,REP,49.8,1000,Voters,IVR/Online Panel,Older
Emerson,2.9,Joe Biden,DEM,38.4,1000,Voters,IVR/Online Panel,Older
Emerson,2.9,Donald Trump,REP,44.4,1000,Voters,IVR/Online Panel,Older
Emerson,2.9,Robert F. Kennedy,IND,5.9,1000,Voters,IVR/Online Panel,Older
Emerson,2.9,Cornel West,IND,1,1000,Voters,IVR/Online Panel,Older
Emerson,2.9,Jill Stein,GRE,1.2,1000,Voters,IVR/Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
YouGov,3,Joe Biden,DEM,42,1566,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,42,1566,Voters,Online Panel,Older
YouGov,3,Robert F. Kennedy,IND,3,1566,Voters,Online Panel,Older
YouGov,3,Cornel West,IND,1,1566,Voters,Online Panel,Older
YouGov,3,Jill Stein,GRE,1,1566,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Morning Consult,1.9,Joe Biden,DEM,43,4000,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,44,4000,Voters,Online Panel,Older
Navigator,1.3,Joe Biden,DEM,45,812,Voters,Online Panel,Older
Navigator,1.3,Donald Trump,REP,40,812,Voters,Online Panel,Older
Navigator,1.3,Robert F. Kennedy,IND,8,812,Voters,Online Panel,Older
